Relations;Année;Temps estimé en minutes
PARIS - MONTPELLIER;1932;
PARIS - NARBONNE;1934;
PARIS - MONTPELLIER;1930;
PARIS - NARBONNE;1952;
PARIS - MONTPELLIER;1960;502.0
PARIS - MONTPELLIER;1964;441.0
PARIS - MONTPELLIER;1976;412.0
PARIS - NARBONNE;1982;453.0
PARIS - MONTPELLIER;1944;
PARIS - MONTPELLIER;1948;
PARIS - MONTPELLIER;1955;
PARIS - MONTPELLIER;1987;280.0
PARIS - MONTPELLIER;1991;279.0
PARIS - MONTPELLIER;2018;201.0
PARIS - MONTPELLIER;1997;254.0
PARIS - NARBONNE;2014;257.0
PARIS - MONTPELLIER;1961;
PARIS - MONTPELLIER;1975;415.0
PARIS - MONTPELLIER;1982;334.0
PARIS - NARBONNE;1988;349.0
PARIS - MONTPELLIER;2006;196.0
PARIS - MONTPELLIER;2009;198.0
PARIS - NARBONNE;1976;449.0
PARIS - MONTPELLIER;1981;411.0
PARIS - NARBONNE;1992;347.0
PARIS - MONTPELLIER;1999;257.0
PARIS - MONTPELLIER;1943;
PARIS - NARBONNE;1964;527.0
PARIS - MONTPELLIER;2013;199.0
PARIS - MONTPELLIER;1986;275.0
PARIS - MONTPELLIER;1995;249.0
PARIS - NARBONNE;2003;265.0
PARIS - NARBONNE;1965;513.0
PARIS - MONTPELLIER;1937;
PARIS - MONTPELLIER;1933;
PARIS - MONTPELLIER;1939;
PARIS - NARBONNE;1936;
PARIS - NARBONNE;1947;
PARIS - MONTPELLIER;1957;
PARIS - MONTPELLIER;1979;410.0
PARIS - NARBONNE;1942;
PARIS - NARBONNE;1955;
PARIS - NARBONNE;1993;342.0
PARIS - MONTPELLIER;1998;257.0
PARIS - MONTPELLIER;1974;415.0
PARIS - MONTPELLIER;1962;
PARIS - MONTPELLIER;1996;250.0
PARIS - MONTPELLIER;1989;280.0
PARIS - MONTPELLIER;1990;280.0
PARIS - MONTPELLIER;1945;
PARIS - MONTPELLIER;1949;
PARIS - NARBONNE;1958;570.0
PARIS - NARBONNE;2001;265.0
PARIS - MONTPELLIER;1935;
PARIS - NARBONNE;1960;527.0
PARIS - MONTPELLIER;1942;
PARIS - NARBONNE;1953;
PARIS - MONTPELLIER;1956;
PARIS - NARBONNE;1991;347.0
PARIS - NARBONNE;2008;261.0
PARIS - NARBONNE;1966;510.0
PARIS - MONTPELLIER;2008;198.0
PARIS - MONTPELLIER;1988;280.0
PARIS - MONTPELLIER;2005;196.0
PARIS - NARBONNE;1933;
PARIS - NARBONNE;1935;
PARIS - NARBONNE;1949;
PARIS - NARBONNE;1951;
PARIS - MONTPELLIER;1994;249.0
PARIS - NARBONNE;2007;264.0
PARIS - NARBONNE;1995;307.0
PARIS - NARBONNE;1967;500.0
PARIS - NARBONNE;1928;
PARIS - NARBONNE;1948;
PARIS - MONTPELLIER;1963;441.0
PARIS - NARBONNE;1938;
PARIS - MONTPELLIER;1965;446.0
PARIS - MONTPELLIER;1984;287.0
PARIS - NARBONNE;1984;443.0
PARIS - NARBONNE;2006;262.0
PARIS - NARBONNE;1943;
PARIS - NARBONNE;1946;
PARIS - MONTPELLIER;1947;
PARIS - MONTPELLIER;1952;
PARIS - NARBONNE;1954;608.0
PARIS - NARBONNE;1961;
PARIS - MONTPELLIER;1970;419.0
PARIS - NARBONNE;1973;466.0
PARIS - MONTPELLIER;1978;414.0
PARIS - MONTPELLIER;1983;328.0
PARIS - MONTPELLIER;2014;199.0
PARIS - MONTPELLIER;2019;200.0
PARIS - NARBONNE;2004;265.0
PARIS - MONTPELLIER;2004;196.0
PARIS - NARBONNE;1962;
PARIS - NARBONNE;1975;449.0
PARIS - MONTPELLIER;1977;419.0
PARIS - NARBONNE;1977;449.0
PARIS - MONTPELLIER;1985;275.0
PARIS - MONTPELLIER;1993;279.0
PARIS - MONTPELLIER;2016;199.0
PARIS - MONTPELLIER;1946;
PARIS - NARBONNE;1957;
PARIS - MONTPELLIER;1969;419.0
PARIS - MONTPELLIER;1980;414.0
PARIS - MONTPELLIER;1950;
PARIS - NARBONNE;1987;350.0
PARIS - NARBONNE;1929;
PARIS - NARBONNE;1956;
PARIS - NARBONNE;1983;453.0
PARIS - NARBONNE;1950;
PARIS - NARBONNE;1980;455.0
PARIS - NARBONNE;1986;352.0
PARIS - NARBONNE;2002;265.0
PARIS - MONTPELLIER;2003;196.0
PARIS - NARBONNE;2009;257.0
PARIS - MONTPELLIER;1972;412.0
PARIS - NARBONNE;1972;467.0
PARIS - NARBONNE;1996;329.0
PARIS - NARBONNE;1989;349.0
PARIS - MONTPELLIER;1953;
PARIS - NARBONNE;1970;467.0
PARIS - MONTPELLIER;1920;
PARIS - MONTPELLIER;1929;
PARIS - NARBONNE;1930;
PARIS - MONTPELLIER;1938;
PARIS - NARBONNE;1959;
PARIS - NARBONNE;1963;527.0
PARIS - NARBONNE;2015;257.0
PARIS - MONTPELLIER;1971;412.0
PARIS - MONTPELLIER;2002;194.0
PARIS - MONTPELLIER;1940;
PARIS - NARBONNE;2016;260.0
